dismissal_type,bowler,inning,match_id
caught,K Rabada,2,1304069
caught,Avesh Khan,2,1304072
caught,Mukesh Choudhary,1,1304079
caught,KH Pandya,2,1304083
caught,R Ashwin,2,1304090
lbw,Rashid Khan,1,1304097
caught,TG Southee,2,1304102
caught,Simarjeet Singh,2,1304105
caught,Washington Sundar,2,1304111
caught,A Nortje,2,1304115
caught,MM Ali,1,1276904
caught,RJ Gleeson,1,1276905
caught,RJW Topley,2,1276906
caught,JO Holder,1,1317903
caught,OC McCoy,1,1317904
retired notout,,2,1317905
bowled,AJ Hosein,1,1317906
caught,Mohammad Nawaz (3),2,1327270
caught,A Shukla,1,1327272
caught,Haris Rauf,1,1327276
caught,C Karunaratne,1,1327277
caught,JR Hazlewood,1,1327503
not out,,2,1327504
caught,PJ Cummins,2,1327505
caught,K Rabada,2,1327506
caught,KA Maharaj,1,1327507
bowled,K Rabada,2,1327508
caught,Haris Rauf,2,1298150
caught,FJ Klaassen,1,1298157
caught,L Ngidi,1,1298164
caught,Hasan Mahmud,1,1298169
caught,B Muzarabani,1,1298176
caught,CJ Jordan,1,1298178
caught,Akash Deep,1,1359479
bowled,TU Deshpande,1,1359486
caught,Mustafizur Rahman,2,1359490
caught,Suyash Sharma,2,1359496
caught,T Natarajan,1,1359499
caught,LS Livingstone,2,1359505
caught,HH Pandya,2,1359509
bowled,Sandeep Sharma,2,1359516
caught,R Dhawan,2,1359520
caught,DL Chahar,1,1359523
lbw,PW Hasaranga,2,1359528
caught,Rashid Khan,1,1359531
caught,Ravi Bishnoi,2,1359537
caught,MJ Dagar,2,1359543
caught,Naveen-ul-Haq,1,1370351
caught,Mohammed Shami,2,1370352
run out,,2,1389396
bowled,Fazalhaq Farooqi,2,1389397
not out,,1,1389398
lbw,R Sai Kishore,2,1422123
caught,PJ Cummins,2,1422126
caught,TA Boult,1,1422132
bowled,AR Patel,1,1422138
caught,WG Jacks,2,1426263
not out,,2,1426267
caught,SM Curran,1,1426271
caught,TA Boult,1,1426276
caught,KK Ahmed,2,1426281
caught,Mohsin Khan,1,1426286
caught,SP Narine,2,1426289
caught,PJ Cummins,2,1426293
caught,CV Varun,2,1426298
caught,Ravi Bishnoi,2,1426305
retired notout,,2,1415708
caught,Shaheen Shah Afridi,1,1415719
caught,SN Netravalkar,2,1415725
caught,Fazalhaq Farooqi,1,1415743
caught,Shakib Al Hasan,1,1415747
bowled,MA Starc,1,1415751
bowled,AU Rashid,1,1415754
caught,KA Maharaj,1,1415755
caught,KK Ahmed,1,1473440
bowled,Mohammed Siraj,2,1473446
caught,AD Russell,2,1473449
bowled,Yash Dayal,2,1473458
lbw,V Nigam,1,1473466
caught,PJ Cummins,2,1473470
not out,,2,1473475
caught,E Malinga,2,1473478
caught,MP Yadav,1,1473482
caught,R Parag,1,1473487
caught,Arshad Khan,1,1473493
caught,Mustafizur Rahman,1,1473501
caught,Harpreet Brar,1,1473506
caught,M Prasidh Krishna,1,1473509
caught,MP Stoinis,1,1473510
